method,seed,flat4_macro_f1,flat4_strong_f1,flat4_supported_f1,flat4_mild_f1,flat4_contradiction_f1,strong_positive_f1,strong_precision,strong_recall,escalation_macro_f1,escalation_positive_f1,contradiction_macro_f1,contradiction_positive_f1,supported_to_strong_rate,mild_to_strong_rate
B_cost_sensitive_cw4.0,55,0.38026315789473686,0.26666666666666666,0.42105263157894735,0.16666666666666666,0.6666666666666666,0.26666666666666666,0.2857142857142857,0.25,0.5883040935672514,0.7555555555555555,0.7681159420289855,0.6666666666666666,0.3125,0.3125
C_ordinal_severity,55,0.31031073446327684,0.1,0.0,0.4745762711864407,0.6666666666666666,0.1,0.25,0.0625,0.42857142857142855,0.8571428571428571,0.775438596491228,0.6666666666666666,0.0,0.0625
D1_ovr_contra_priority,55,0.37938565999258433,0.1935483870967742,0.3125,0.3448275862068966,0.6666666666666666,0.1935483870967742,0.2,0.1875,0.5416666666666667,0.7708333333333334,0.7681159420289855,0.6666666666666666,0.3125,0.25
D2_ovr_strong_priority,55,0.38531006054459405,0.1875,0.30303030303030304,0.3448275862068966,0.7058823529411765,0.1875,0.1875,0.1875,0.5304625199362042,0.7578947368421053,0.799749687108886,0.7058823529411765,0.3125,0.3125
D3_ovr_max_prob,55,0.3481527093596059,0.20689655172413793,0.5,0.0,0.6857142857142857,0.20689655172413793,0.23076923076923078,0.1875,0.6,0.7,0.7837173579109062,0.6857142857142857,0.1875,0.25
E_error_corrector_r4,55,0.39534802231379473,0.2727272727272727,0.46808510638297873,0.17391304347826086,0.6666666666666666,0.2727272727272727,0.5,0.1875,0.5797215655371684,0.691358024691358,0.7681159420289855,0.6666666666666666,0.125,0.0625
F_recall_balance_router,55,0.3388543823326432,0.1111111111111111,0.43478260869565216,0.14285714285714285,0.6666666666666666,0.1111111111111111,0.5,0.0625,0.5588547189819725,0.6829268292682927,0.7681159420289855,0.6666666666666666,0.0,0.0625
R4_conservative_strong,66,0.39229578010065813,0.43902439024390244,0.4444444444444444,0.0,0.6857142857142857,0.43902439024390244,0.36,0.5625,0.6135265700483092,0.782608695652174,0.7837173579109062,0.6857142857142857,0.4375,0.5
A1_temp_scaled_router,66,0.39229578010065813,0.43902439024390244,0.4444444444444444,0.0,0.6857142857142857,0.43902439024390244,0.36,0.5625,0.6135265700483092,0.782608695652174,0.7837173579109062,0.6857142857142857,0.4375,0.5
A2_isotonic_router,66,0.41805475226527855,0.47368421052631576,0.5128205128205128,0.0,0.6857142857142857,0.47368421052631576,0.4090909090909091,0.5625,0.6496686833765486,0.7865168539325843,0.7837173579109062,0.6857142857142857,0.3125,0.4375
A3_platt_router,66,0.4303759398496241,0.32,0.4,0.3157894736842105,0.6857142857142857,0.32,0.4444444444444444,0.25,0.6081632653061224,0.8163265306122449,0.7837173579109062,0.6857142857142857,0.125,0.1875
B_cost_sensitive_cw1.5,66,0.3444782168186423,0.425531914893617,0.26666666666666666,0.0,0.6857142857142857,0.425531914893617,0.3225806451612903,0.625,0.5210884353741496,0.7755102040816326,0.7837173579109062,0.6857142857142857,0.6875,0.5625
B_cost_sensitive_cw2.0,66,0.4141369047619048,0.4375,0.5333333333333333,0.0,0.6857142857142857,0.4375,0.4375,0.4375,0.640160642570281,0.7469879518072289,0.7837173579109062,0.6857142857142857,0.1875,0.375
B_cost_sensitive_cw3.0,66,0.40449090205187765,0.4878048780487805,0.4444444444444444,0.0,0.6857142857142857,0.4878048780487805,0.4,0.625,0.6135265700483092,0.782608695652174,0.7837173579109062,0.6857142857142857,0.4375,0.4375
B_cost_sensitive_cw4.0,66,0.39064881766660153,0.46511627906976744,0.4117647058823529,0.0,0.6857142857142857,0.46511627906976744,0.37037037037037035,0.625,0.5994993742177722,0.7872340425531915,0.7837173579109062,0.6857142857142857,0.5,0.5
C_ordinal_severity,66,0.3625478738105579,0.37209302325581395,0.0,0.3684210526315789,0.7096774193548387,0.37209302325581395,0.2962962962962963,0.5,0.42857142857142855,0.8571428571428571,0.8084469571000998,0.7096774193548387,0.5625,0.4375
D1_ovr_contra_priority,66,0.3158935073532889,0.37735849056603776,0.10526315789473684,0.09523809523809523,0.6857142857142857,0.37735849056603776,0.2702702702702703,0.625,0.47464992757122165,0.8440366972477065,0.7837173579109062,0.6857142857142857,0.6875,0.8125
D2_ovr_strong_priority,66,0.36435897435897435,0.16,0.38095238095238093,0.23076923076923078,0.6857142857142857,0.16,0.2222222222222222,0.125,0.539313399778516,0.6976744186046512,0.7837173579109062,0.6857142857142857,0.1875,0.1875
D3_ovr_max_prob,66,0.3768003034547152,0.1875,0.4117647058823529,0.2222222222222222,0.6857142857142857,0.1875,0.1875,0.1875,0.5994993742177722,0.7872340425531915,0.7837173579109062,0.6857142857142857,0.375,0.3125
E_error_corrector_r4,66,0.3971977408849719,0.35294117647058826,0.43902439024390244,0.1111111111111111,0.6857142857142857,0.35294117647058826,0.3333333333333333,0.375,0.5873282870759742,0.735632183908046,0.7837173579109062,0.6857142857142857,0.375,0.3125
F_recall_balance_router,66,0.4265360983102919,0.3,0.3870967741935484,0.3333333333333333,0.6857142857142857,0.3,0.75,0.1875,0.5956102427668772,0.8041237113402062,0.7837173579109062,0.6857142857142857,0.0,0.0625
R4_conservative_strong,77,0.4376321974148061,0.34782608695652173,0.5,0.2,0.7027027027027027,0.34782608695652173,0.5714285714285714,0.25,0.6,0.7,0.7909117909117909,0.7027027027027027,0.0625,0.125
A1_temp_scaled_router,77,0.45611045828437136,0.4,0.5217391304347826,0.2,0.7027027027027027,0.4,0.5555555555555556,0.3125,0.6267232237539766,0.7317073170731707,0.7909117909117909,0.7027027027027027,0.0625,0.1875
A2_isotonic_router,77,0.4743936243936244,0.46153846153846156,0.5333333333333333,0.2,0.7027027027027027,0.46153846153846156,0.6,0.375,0.640160642570281,0.7469879518072289,0.7909117909117909,0.7027027027027027,0.0625,0.1875
A3_platt_router,77,0.40330725462304406,0.21052631578947367,0.5,0.2,0.7027027027027027,0.21052631578947367,0.6666666666666666,0.125,0.5789473684210527,0.6578947368421053,0.7909117909117909,0.7027027027027027,0.0,0.0625
B_cost_sensitive_cw1.5,77,0.4743936243936244,0.46153846153846156,0.5333333333333333,0.2,0.7027027027027027,0.46153846153846156,0.6,0.375,0.640160642570281,0.7469879518072289,0.7909117909117909,0.7027027027027027,0.0625,0.1875
B_cost_sensitive_cw2.0,77,0.4376321974148061,0.34782608695652173,0.5,0.2,0.7027027027027027,0.34782608695652173,0.5714285714285714,0.25,0.6,0.7,0.7909117909117909,0.7027027027027027,0.0625,0.125
B_cost_sensitive_cw3.0,77,0.4376321974148061,0.34782608695652173,0.5,0.2,0.7027027027027027,0.34782608695652173,0.5714285714285714,0.25,0.6,0.7,0.7909117909117909,0.7027027027027027,0.0625,0.125
B_cost_sensitive_cw4.0,77,0.4575019168104275,0.4166666666666667,0.5106382978723404,0.2,0.7027027027027027,0.4166666666666667,0.625,0.3125,0.6133438402941949,0.7160493827160493,0.7909117909117909,0.7027027027027027,0.0625,0.125
C_ordinal_severity,77,0.37428667670603155,0.4090909090909091,0.0,0.3783783783783784,0.7096774193548387,0.4090909090909091,0.32142857142857145,0.5625,0.42857142857142855,0.8571428571428571,0.8084469571000998,0.7096774193548387,0.375,0.5
D1_ovr_contra_priority,77,0.3733041341736994,0.43478260869565216,0.17391304347826086,0.18181818181818182,0.7027027027027027,0.43478260869565216,0.3333333333333333,0.625,0.49648033126293994,0.819047619047619,0.7909117909117909,0.7027027027027027,0.5625,0.5
D2_ovr_strong_priority,77,0.3555994729907773,0.4,0.17391304347826086,0.18181818181818182,0.6666666666666666,0.4,0.29411764705882354,0.625,0.49648033126293994,0.819047619047619,0.775438596491228,0.6666666666666666,0.5625,0.625
D3_ovr_max_prob,77,0.37259220108057317,0.30303030303030304,0.46511627906976744,0.0,0.7222222222222222,0.30303030303030304,0.29411764705882354,0.3125,0.5972640218878249,0.7294117647058823,0.8067632850241546,0.7222222222222222,0.25,0.375
E_error_corrector_r4,77,0.40337728263424855,0.21052631578947367,0.5098039215686274,0.19047619047619047,0.7027027027027027,0.21052631578947367,0.6666666666666666,0.125,0.5925642984466514,0.6753246753246753,0.7909117909117909,0.7027027027027027,0.0,0.0625
F_recall_balance_router,77,0.4376321974148061,0.34782608695652173,0.5,0.2,0.7027027027027027,0.34782608695652173,0.5714285714285714,0.25,0.6,0.7,0.7909117909117909,0.7027027027027027,0.0625,0.125
R4_conservative_strong,88,0.43710839598997486,0.42105263157894735,0.375,0.2857142857142857,0.6666666666666666,0.42105263157894735,0.36363636363636365,0.5,0.5833333333333333,0.7916666666666666,0.782312925170068,0.6666666666666666,0.25,0.4375
A1_temp_scaled_router,88,0.43710839598997486,0.42105263157894735,0.375,0.2857142857142857,0.6666666666666666,0.42105263157894735,0.36363636363636365,0.5,0.5833333333333333,0.7916666666666666,0.782312925170068,0.6666666666666666,0.25,0.4375
A2_isotonic_router,88,0.441004876349704,0.3888888888888889,0.36363636363636365,0.3448275862068966,0.6666666666666666,0.3888888888888889,0.35,0.4375,0.5712918660287081,0.7789473684210526,0.782312925170068,0.6666666666666666,0.25,0.375
A3_platt_router,88,0.4246455505279034,0.32,0.358974358974359,0.35294117647058826,0.6666666666666666,0.32,0.4444444444444444,0.25,0.5390377412849323,0.7191011235955056,0.782312925170068,0.6666666666666666,0.0625,0.125
B_cost_sensitive_cw1.5,88,0.42682314305032354,0.35294117647058826,0.34285714285714286,0.3448275862068966,0.6666666666666666,0.35294117647058826,0.3333333333333333,0.375,0.5477726574500767,0.7526881720430108,0.782312925170068,0.6666666666666666,0.25,0.3125
B_cost_sensitive_cw2.0,88,0.43710839598997486,0.42105263157894735,0.375,0.2857142857142857,0.6666666666666666,0.42105263157894735,0.36363636363636365,0.5,0.5833333333333333,0.7916666666666666,0.782312925170068,0.6666666666666666,0.25,0.4375
B_cost_sensitive_cw3.0,88,0.43710839598997486,0.42105263157894735,0.375,0.2857142857142857,0.6666666666666666,0.42105263157894735,0.36363636363636365,0.5,0.5833333333333333,0.7916666666666666,0.782312925170068,0.6666666666666666,0.25,0.4375
